1,,,,,,,,ita,1
2,,,,,,,,eng,1
3,,,,,,,,ita,2
4,,,,,,,,eng,2
5,,,,,,,,ita,3
6,,,,,,,,eng,3
7,,,,,,,,ita,4
8,,,,,,,,ita,5
9,,,,,,,,eng,5
10,,,,,,,,eng,6
11,,,,,,,,ita,7
12,,,,,,,,eng,7
13,,,,,,,,ita,8
14,,,,,,,,eng,9
15,,,,,,,,ita,10
16,,,,,,,,eng,10
17,,,,,,,,ita,11
18,,,,,,,,eng,11
19,,,,,,,,ita,12
20,,,,,,,,eng,12
21,,,,,,,,ita,13
22,,,,,,,,eng,13
23,,,,,,,,ita,14
24,,,,,,,,eng,14
25,,,,,,,,eng,15
26,,,,,,,,ita,15
27,,,,,,,,eng,16
28,,,,,,,,ita,16
29,,,,,,,,ita,17
30,,,,,,,,eng,17
31,,,,,,,,ita,18
32,,,,,,,,eng,18
33,,,,,,,,ita,19
34,,,,,,,,eng,19
35,,,,,,,,eng,20
36,,,,,,,,ita,20
37,,,,,,,,eng,21
38,,,,,,,,ita,21
39,,,,,,,,eng,22
40,,,,,,,,ita,22
41,,,,,,,,eng,23
42,,,,,,,,ita,23
43,,,,,,,,eng,24
44,,,,,,,,ita,24
45,,,,,,,,eng,25
46,,,,,,,,ita,25
47,,,,,,,,eng,26
48,,,,,,,,ita,26
49,,,,,,,,eng,27
50,,,,,,,,ita,27
51,,,,,,,,eng,28
52,,,,,,,,ita,28
53,,,,,,,,eng,29
54,,,,,,,,ita,29
55,,,,,,,,eng,30
56,,,,,,,,ita,30
57,,,,,,,,ita,31
58,,,,,,,,eng,31
59,,,,,,,,ita,32
60,,,,,,,,eng,32
61,,,,,,,,ita,33
62,,,,,,,,eng,33
63,,,,,,,,eng,34
64,,,,,,,,ita,34
65,,,,,,,,eng,35
66,,,,,,,,ita,35
